ID,psi.D,psi.R,psi.T,r0,d0,t0,r,d,T.t,t,gamma.t,gamma.d
1,1.077101124,1.293484679,1.210812705,539978.3,629978.3,0,539978300,629978300,21700,24,4.22E-11,7.40E-14
2,1.216004545,1.221891518,1.119933723,429946.5,1009946.5,0,429946500,1009946500,53500,24,4.36E-13,1.62E-13
3,1.216004545,1.293484679,1.091877486,669905,1099905,0,669905000,1099905000,95000,24,3.53E-11,1.83E-13
4,1.561508591,1.221891518,1.202371342,219974.5,919974.5,0,219974500,919974500,25500,24,6.50E-12,1.99E-13
5,1.561508591,1.293484679,1.077189951,279994.95,699994.95,0,279994950,699994950,5050,24,4.74E-14,4.58E-14
6,1.077101124,0.460467707,0.341884273,869997,799997,0,869997000,799997000,3000,24,1.01E-09,5.15E-15
7,1.561508591,0.460467707,0.339182472,669998.1,909998.1,0,669998100,909998100,1900,24,3.71E-13,5.24E-15
8,1.216004545,0.460467707,0.325777443,689755,1089755,0,689755000,1089755000,245000,24,3.11E-10,4.40E-13
